Complaint_Text,Label
"Unit Fails to Start. Power is on, but drum won't turn over. Checked fuses, all OK.",QUALITY_ISSUE
Machine leaking water heavily from the bottom-front during the spin cycle. Seal appears compromised.,QUALITY_ISSUE
"E40 error code constantly appears, door is locked. Customer cannot open after cycle finishes.",QUALITY_ISSUE
No hot water filling. Heating element continuity check is open circuit. Needs replacement.,QUALITY_ISSUE
Extreme noise and vibration during high-speed spin. Suspect drum bearing failure.,QUALITY_ISSUE
"Unit vibrates excessively, seems to be walking across the floor. Customer claims it was level.",NON_QUALITY_ISSUE
Clothes consistently come out with white powdery residue. Customer uses large amount of low-grade powder.,NON_QUALITY_ISSUE
Odor inside the drum. Advised customer to run a maintenance wash cycle and clean the door seal.,NON_QUALITY_ISSUE
Water won't drain completely. Found large build-up of lint and coins obstructing the pump filter.,NON_QUALITY_ISSUE
"Error F08 displayed. Checked manual, indicates door is not correctly closed. Customer confirms it was not latched hard.",NON_QUALITY_ISSUE
The pump is running continuously but no water is exiting. Drain hose is incorrectly installed too high.,NON_QUALITY_ISSUE
"P-Board flashing rapidly, no display text. Unit completely dead after a power surge event.",QUALITY_ISSUE
Drum is scratching the stainless steel tub. Appears to be a spider/suspension arm breakage.,QUALITY_ISSUE
Cycle stops mid-wash (around 20 minutes) without warning. No error code logged.,QUALITY_ISSUE
Customer complaint of clothes being ripped. Found sharp burr on the inside of the drum perforation.,QUALITY_ISSUE
"Unit stopped midway, no power to the motor. Motor control board (MCB) has visible burn marks.",QUALITY_ISSUE
Customer called because the machine won't start when they overload the drum past the maximum line.,NON_QUALITY_ISSUE
"Water pressure too low, takes forever to fill. Checked main water tap, only partially open.",NON_QUALITY_ISSUE
Machine smells burnt during drying cycle (washer-dryer combi). Lint filter completely blocked with fuzz.,NON_QUALITY_ISSUE
Customer requesting service because the rubber feet wore down and need replacing.,NON_QUALITY_ISSUE
Faucet is leaking at the water inlet connection. Customer used old hose without replacing the rubber washer.,NON_QUALITY_ISSUE
Detergent dispenser is blocked/sticky. Advised customer to use liquid instead of hard block detergent.,NON_QUALITY_ISSUE
"Drain cycle failure error C3. Cleared sensor, found high level of limescale on the heating element.",NON_QUALITY_ISSUE
The digital display is pixelated and unreadable. Faulty LCD screen component.,QUALITY_ISSUE
"Excessive foaming/suds, machine pauses cycle. Customer admitted adding fabric softener directly to the drum.",NON_QUALITY_ISSUE
"Drum spins, but only very slowly. Tachometer feedback signal inconsistent.",QUALITY_ISSUE
Customer complaint: no sound when the wash cycle finishes. Buzzer component is internally broken.,QUALITY_ISSUE
Water ingress to motor housing. Defective main tub seal caused water to drip onto the drive belt.,QUALITY_ISSUE
"Machine turns off immediately after selection. Checked power, internal harness short on the main loom.",QUALITY_ISSUE
Door handle snapped clean off the housing while trying to open. Plastic fatigue failure.,QUALITY_ISSUE
"Unit vibrates heavily, but legs are level. Found packaging bolts still installed in the back of the unit.",NON_QUALITY_ISSUE
Clothes still soaking wet after final spin. Customer only uses the 'Quick Wash 15min' setting with heavy towels.,NON_QUALITY_ISSUE
Customer reports machine sometimes pauses and restarts. Low voltage supply on the power line confirmed.,NON_QUALITY_ISSUE
Filter is completely missing from the drain pump housing. Customer removed it for 'better drainage'.,NON_QUALITY_ISSUE
Service call for a replacement drain hose that was damaged during a house move.,NON_QUALITY_ISSUE
Machine will not reach target temperature. Customer is using cold fill only with the 'Eco 20°C' setting.,NON_QUALITY_ISSUE
No water entering the unit. Found the small mesh filter in the fill valve completely blocked with sand/debris.,NON_QUALITY_ISSUE
Error C7: Drain problem. Drain pump impeller seized due to manufacturing debris inside the housing.,QUALITY_ISSUE
"Unit shows ""Door Open"" error when door is clearly shut. Defective door interlock switch mechanism.",QUALITY_ISSUE
Rust spots appearing on the stainless steel drum lip after only 6 months of use. Poor material quality.,QUALITY_ISSUE
Machine stuck in infinite rinse cycle. Software logic loop error detected on the latest firmware version.,QUALITY_ISSUE
Loud grinding noise during wash. Main motor pulley cracked and slipping on the belt.,QUALITY_ISSUE
Clothes are coming out smelling metallic. Internal rubber hose is dissolving/degrading into the water.,QUALITY_ISSUE
Water continuously filling and draining at the same time. Failed pressure sensor component.,QUALITY_ISSUE
Unit stopped with flashing light. Found customer using industrial-strength bleach which corroded the internal pipework.,NON_QUALITY_ISSUE
Clothes are damaged. Found a pair of keys left in a pocket that snagged fabric during spin.,NON_QUALITY_ISSUE
Customer states machine stopped with E35 error. Power cable was loosely plugged into the wall socket.,NON_QUALITY_ISSUE
Water won't fill. Checked water inlet. Customer's internal stopcock is completely closed.,NON_QUALITY_ISSUE
The machine is constantly beeping. Customer has the 'Child Lock' activated and forgot the procedure to disable it.,NON_QUALITY_ISSUE
Technical call to install a new machine. Old one was working fine.,NON_QUALITY_ISSUE
Machine will not fully power on. Main control board is completely unresponsive (dead-on-arrival).,QUALITY_ISSUE
"Drum not rotating at all, motor hums loudly. Capacitor failure in the motor circuit.",QUALITY_ISSUE
